Malzeme_Tipi,Birim_Fiyat_EUR_kg
Paslanmaz Çelik,3.20
Aynalı Paslanmaz,4.50
Desenli / Dekoratif Paslanmaz,5.50
Satine Paslanmaz,3.80
Laminat / Kompakt Laminat Kaplama,6.00
Elektrostatik Boyalı Sac,1.80
