Malzeme_Tipi,Miktar_kg
Paslanmaz Çelik,0.0
Aynalı Paslanmaz,0.0
Desenli / Dekoratif Paslanmaz,0.0
Satine Paslanmaz,0.0
Laminat / Kompakt Laminat Kaplama,0.0
Elektrostatik Boyalı Sac,0.0
